id,familyName,givenName,familyNameSoundex,givenNameSoundex,dateOfBirth,address,postcode,source,type,deceased
34,Jones,Morgan,J52,M625,1999-08-18,308 Murphy Drives,55000,Lee Inc,Corporate investment banker,True
35,Thompson,David,T5125,D13,1919-11-29,698 Ford Mountains,05015,"Sanders, Armstrong and Rodriguez",Agricultural engineer,False
36,Long,Tracy,L52,T62,1983-02-02,3314 Mcdowell Falls,20763,Brown-Peterson,Geophysical data processor,False
37,Nichols,Kerri,N242,K6,1935-05-31,520 Kirk Plains,64435,"Sanders, Armstrong and Rodriguez",Technical author,True
38,Moran,Theresa,M65,T62,1916-10-07,8910 Lori Springs,43991,"Mcintosh, Hancock and Payne",Financial controller,True
39,Smith,Tiffany,S53,T15,1978-06-04,68761 Coleman Throughway Suite 135,79383,Buck PLC,Building control surveyor,True
40,Peterson,Billy,P3625,B4,2011-02-02,215 Williams Park Suite 485,57180,"Wright, Johnson and Rice","Clinical scientist, histocompatibility and immunogenetics",True
41,Mckenzie,Amanda,M252,A53,1919-01-25,7675 Thompson Tunnel,29712,Brown Ltd,"Scientist, research (physical sciences)",True
42,Nguyen,Diane,N25,D5,1938-02-02,22723 Samantha Shores Apt. 968,11597,"Chandler, Hendricks and Davis","Producer, television/film/video",True
43,Cruz,Emily,C62,E54,1907-11-03,79881 Palmer Land,56560,Lee Inc,"Clinical scientist, histocompatibility and immunogenetics",False
44,Miller,Thomas,M46,T52,2001-08-27,92916 Novak Island,21210,Ellis and Sons,"Pharmacist, hospital",False
45,Travis,Joshua,T612,J2,1976-09-02,603 Timothy Shoal Suite 275,88295,Smith Inc,Hotel manager,True
46,Everett,Alexander,E163,A42536,2009-01-10,149 Murray Prairie Apt. 829,57054,Steele-Barber,Outdoor activities/education manager,True
47,Smith,Jenny,S53,J5,1916-11-19,236 Thomas Via Apt. 745,06921,"Mcintosh, Hancock and Payne",Technical author,False
48,Cox,Tina,C2,T5,1981-12-27,5446 Butler Walk,68265,White-Walsh,"Horticulturist, amenity",False
49,Cook,Shane,C2,S5,2022-05-17,55272 Robinson Skyway Suite 842,87567,Foster Ltd,Outdoor activities/education manager,False
50,Myers,Cynthia,M62,C53,1926-08-06,9624 Keith Shoals,90340,"Mcintosh, Hancock and Payne",Agricultural engineer,True
51,Hunter,Dana,H536,D5,1946-09-19,824 Knight Way,82406,Shah-Rodgers,Manufacturing systems engineer,False
52,Chandler,Robert,C5346,R163,1977-09-01,704 White Square,78535,Martin-Carter,"Pharmacist, hospital",False
53,Wang,Jamie,W52,J5,1975-07-14,364 Randall Walk Apt. 319,33300,Flores and Sons,"Pharmacist, hospital",False
54,Yu,Phillip,Y,P41,1972-03-20,5186 Tracy Mall,71948,"Mcintosh, Hancock and Payne",Hotel manager,False
55,Alexander,Jose,A42536,J2,1966-12-25,3136 Pena Walk Suite 715,36282,Mitchell-Odonnell,Outdoor activities/education manager,False
56,Acosta,Nicole,A23,N24,1967-09-03,105 Emily Terrace,65417,Brown Ltd,Air broker,False
57,Davis,Jason,D12,J25,1953-04-02,749 Cruz Motorway Apt. 169,78540,Brown-Peterson,Mechanical engineer,False
58,Hoover,Jacob,H16,J21,1985-07-03,36207 Timothy Mews Apt. 580,62725,Davis-Turner,Manufacturing systems engineer,True
59,Morris,John,M62,J5,1911-09-14,204 Christopher Locks Apt. 373,12439,Taylor-Gentry,Geophysical data processor,True
60,Mcbride,Zoe,M2163,Z,1973-08-01,150 Nathaniel Points Apt. 839,75090,"Smith, Austin and Aguilar",Research scientist (maths),True
61,Smith,William,S53,W45,1938-12-05,93916 Leon Shoal,43535,Turner and Sons,Building control surveyor,True
62,Perez,Nina,P62,N5,1989-09-06,04813 Kenneth Circle Apt. 290,93880,White-Walsh,Broadcast engineer,False
63,Hull,Jeff,H4,J1,2022-10-08,72056 Jason Crossing Suite 851,50909,Lane-Dickson,Arts administrator,True
64,Vazquez,Dana,V2,D5,1975-11-27,950 Hansen Court Suite 706,94955,"Sharp, Frye and Mathis",Manufacturing systems engineer,True
65,Thomas,James,T52,J52,1922-03-17,867 Donna Loaf Suite 397,34787,Davis-Turner,"Pharmacist, hospital",False
66,Garcia,Anthony,G62,A535,1925-09-11,547 Chan Centers,90650,"Lutz, Anderson and Murphy","Research officer, political party",False
67,Whitehead,Debra,W3,D16,1920-02-28,0796 Brown Drive,94399,"Wright, Johnson and Rice",Chiropodist,False
68,Baker,Lauren,B26,L65,1916-10-17,1525 Rhonda Mission Suite 959,68085,Turner and Sons,Financial controller,False
69,Cook,Colleen,C2,C45,2007-01-03,740 Woods Center Apt. 167,12174,Martin-Carter,Chartered loss adjuster,True
70,Chan,Nicholas,C5,N242,1991-05-12,5980 Lawrence Isle,13840,Hunter LLC,Hydrogeologist,False
71,Kelley,Allison,K4,A425,1940-02-13,41370 Hawkins Ranch,46205,"Lutz, Anderson and Murphy","Producer, television/film/video",False
72,Walter,Henry,W436,H56,1975-06-06,432 Kathryn Plaza Apt. 786,77469,Miller-Sanchez,Corporate investment banker,True
73,Rogers,William,R262,W45,1926-11-10,64505 Robertson Shoals Apt. 538,40786,Foster Ltd,Hotel manager,True
74,Nunez,Erik,N52,E62,1968-03-13,292 Troy Place Suite 952,08805,Campbell LLC,Geophysical data processor,False
75,Smith,Brandi,S53,B653,1934-07-23,57750 Brenda Crest Apt. 747,47743,"Simpson, Stewart and Mckee",Race relations officer,True
76,Allen,Tanya,A45,T5,1932-04-09,2881 Kelly Mill Suite 232,71502,Cox LLC,Occupational therapist,False
77,Ferrell,Joseph,F64,J21,1949-06-02,1239 Bradley Junction Apt. 311,26382,"Chandler, Hendricks and Davis","Producer, television/film/video",True
78,Benton,Danielle,B535,D54,1993-09-07,0357 Adams Forest Apt. 631,34425,Sanchez-Carroll,Cartographer,True
79,Campbell,Melissa,C514,M42,1999-04-22,931 Alicia Causeway,21129,"Sanders, Armstrong and Rodriguez","Pharmacist, hospital",False
80,Hunt,Randall,H53,R534,1957-04-21,140 Garcia Common,87067,"Matthews, Fisher and Ritter",Occupational therapist,False
81,Fritz,Keith,F632,K3,1926-03-09,74892 Robinson Knoll Suite 939,96324,Miller-Sanchez,Chartered loss adjuster,True
82,Jackson,Heather,J25,H36,1948-06-21,5272 John Inlet,31953,Hunter LLC,Sports coach,True
83,Simmons,Willie,S52,W4,1969-10-30,6638 Robert Pass,36521,Miller-Sanchez,Building control surveyor,False
84,Moreno,Tasha,M65,T2,1944-10-18,64741 Williams Fork,29408,Foster Ltd,Financial controller,False
85,Orozco,William,O62,W45,1916-03-01,1857 Roberta Villages Suite 914,61076,Campbell LLC,IT sales professional,False
86,Thomas,Anna,T52,A5,1990-12-02,63437 Heath Locks,14066,"Matthews, Fisher and Ritter",Broadcast engineer,True
87,Williams,Edwin,W452,E35,1934-04-21,6935 Cummings Ridges,90801,"Chandler, Hendricks and Davis","Clinical scientist, histocompatibility and immunogenetics",True
88,Phelps,Donna,P412,D5,1919-03-19,371 Wendy Isle,05156,Gilbert-Wilkerson,"Pharmacist, hospital",False
89,West,David,W23,D13,1916-06-07,46287 Leslie Field Apt. 849,03483,Sanchez Inc,Mechanical engineer,False
90,Vincent,Leslie,V5253,L24,1953-05-16,9802 Collier Manors,95365,Solis-Morris,Cartographer,False
91,Turner,Adrienne,T656,A365,1970-08-30,805 Karen Row,57900,Hunter LLC,Quarry manager,True
92,Jackson,Laura,J25,L6,1918-03-01,052 Kristy Spurs,57959,Smith-Hutchinson,Media planner,False
93,Mcmahon,Savannah,M25,S15,1935-04-28,181 Charles Causeway,20509,Thomas-Smith,Chartered loss adjuster,False
94,Clark,Kathryn,C462,K365,1929-06-24,309 Foster Mission Apt. 496,92867,"Simpson, Stewart and Mckee",Jewellery designer,True
95,Smith,Kimberly,S53,K5164,1941-02-05,6746 Sutton Knoll Apt. 697,12859,White-Walsh,"Scientist, research (physical sciences)",False
96,Thomas,Kim,T52,K5,1994-09-09,96386 Phillips Shores,19685,Thomas-Smith,"Nurse, mental health",True
97,Morton,Kevin,M635,K15,1964-08-04,518 Anne Estate Apt. 478,67957,Hunter LLC,Hotel manager,True
98,Taylor,Mary,T46,M6,1972-12-08,6415 Larsen Springs,97020,Steele-Barber,Database administrator,True
99,Brown,James,B65,J52,1991-03-01,55068 Stephanie Mews,26284,Greer-Adkins,"Production assistant, television",False
100,Edwards,Tina,E3632,T5,1943-05-22,588 Roger Divide,03443,Wallace Group,Advertising art director,True
101,Bernard,Dana,B6563,D5,1988-03-21,584 Jackson Lock Suite 863,46630,Davis-Turner,Corporate investment banker,True
102,Harris,Jennifer,H62,J516,1920-10-04,10249 Webb Drives,09642,"Wright, Johnson and Rice","Production assistant, television",True
103,Harris,Mark,H62,M62,2020-06-19,57464 Tracy Mountain Suite 095,60005,Lane-Dickson,"Nurse, mental health",True
104,Johnson,Shawn,J525,S5,1924-04-13,0281 King Mountains,47743,James-Dickerson,Mechanical engineer,False
105,Dawson,Richard,D25,R263,1928-12-22,6528 Avery Rapids,27661,"Lutz, Anderson and Murphy",Manufacturing systems engineer,False
106,Davis,William,D12,W45,1932-11-09,045 Benjamin Well Apt. 544,86546,Mitchell-Odonnell,"Horticulturist, amenity",False
107,Jordan,Darren,J635,D65,2003-07-21,748 Moreno Roads Apt. 161,50248,"Chandler, Hendricks and Davis","Nurse, mental health",False
108,Woods,Crystal,W32,C6234,1975-10-03,3956 Walker Roads Suite 173,56693,Solis-Morris,Diplomatic Services operational officer,True
109,Curtis,Shane,C632,S5,1997-10-30,939 Olson Square Suite 504,32089,Lee Inc,Broadcast engineer,False
110,Hays,Benjamin,H2,B525,1974-07-27,75775 Lozano Cape Suite 088,57891,Steele-Barber,Corporate investment banker,False
111,Guerra,Jonathan,G6,J535,1975-03-10,8268 Diaz Camp,89147,Campbell LLC,"Sound technician, broadcasting/film/video",True
112,Powers,Brenda,P62,B653,2018-10-25,51475 Williams Burg Apt. 569,02120,Hunter LLC,Manufacturing systems engineer,True
113,Davis,Erin,D12,E65,1944-12-03,36370 Michael Mountains,23524,Smith-Hutchinson,Hydrogeologist,True
114,Barnes,Gregory,B652,G626,2015-11-17,4539 Fox Valleys Apt. 930,73795,Taylor-Gentry,Chief Financial Officer,False
115,Wilson,Terri,W425,T6,1911-10-24,1968 Brian Bridge,16783,Lane-Dickson,Sports coach,False
116,Monroe,Adam,M56,A35,1935-10-17,6929 Miller Common,85409,Foster Ltd,"Nurse, mental health",False
117,Clarke,Trevor,C462,T616,1928-10-14,246 Rios Brooks,85357,"Smith, Austin and Aguilar","Surveyor, mining",False
118,Herrera,David,H6,D13,1991-04-09,7082 Ramirez Route,22484,Davis-Turner,Primary school teacher,False
119,Gomez,Brittany,G52,B635,1984-04-29,7388 Mary Well Suite 082,38289,"Simpson, Stewart and Mckee",Financial controller,False
120,Weaver,Michelle,W16,M24,1985-10-02,780 Peters Divide,08077,Wallace Group,"Clinical scientist, histocompatibility and immunogenetics",True
121,Johnston,Paul,J5235,P4,1940-11-30,31623 Allison Islands Suite 048,12035,Campbell LLC,"Journalist, broadcasting",True
122,Spencer,Rachel,S1526,R24,1918-10-01,8345 Griffin Drive,79901,"Simpson, Stewart and Mckee",Occupational psychologist,False
123,Cunningham,Victoria,C525,V236,1933-02-17,251 Mercedes Cliffs,91934,Shah-Rodgers,Printmaker,False
124,Jackson,Makayla,J25,M24,1990-04-18,46144 Campos Road,48248,"Adams, Davis and Miller",Outdoor activities/education manager,False
125,Kennedy,Robert,K53,R163,2004-09-19,76547 Carrie Radial,40408,Taylor-Gentry,Agricultural engineer,True
126,Franklin,Daniel,F65245,D54,1968-11-14,767 Mark Rapid,28704,Cox LLC,Diplomatic Services operational officer,True
127,Gordon,Tina,G635,T5,2007-09-09,91172 Mario Harbors,40523,Flores and Sons,Sports coach,False
128,Burns,Jason,B652,J25,1912-09-11,253 Jonathan Burg,91120,Lee Inc,Outdoor activities/education manager,True
129,Brown,Marisa,B65,M62,2003-07-28,589 Diane Estates Apt. 521,95545,Solis-Morris,Advertising art director,False
130,Williams,Charles,W452,C642,1942-05-15,07188 Patrick Village,57511,"Williams, Sheppard and Sanchez",Research scientist (maths),False
131,Christian,Daniel,C6235,D54,2011-07-04,3753 Fisher Meadows Suite 915,44621,"Williams, Sheppard and Sanchez",Occupational psychologist,False
132,Henson,Ryan,H525,R5,1923-05-15,6326 Matthew Well Apt. 520,39465,"Adams, Davis and Miller","Pharmacist, hospital",False
133,Aguilar,Brandy,A246,B653,2020-06-17,51353 Gutierrez Port Suite 162,43865,Baker-Ryan,Structural engineer,False
134,Weeks,Gabrielle,W2,G164,1970-09-08,1251 Connie Springs Apt. 867,21886,Lee-Williams,Geophysical data processor,True
135,Holt,Joseph,H43,J21,2000-07-05,206 Hannah Ridges,48286,Solis-Morris,Jewellery designer,False
136,Rowe,Ashley,R,A24,1969-03-28,08162 Roger Rapid Suite 901,68678,Ellis and Sons,Building control surveyor,True
137,Morris,Ricardo,M62,R263,1983-08-22,55256 Huynh Trace Suite 723,10937,Greer-Adkins,Hydrogeologist,True
138,Brown,Yvette,B65,Y13,2019-07-14,702 Roberts Brook,33940,Greer-Adkins,Corporate investment banker,True
139,Lopez,Margaret,L12,M6263,1920-02-14,507 Michael Island Suite 644,36940,"Smith, Austin and Aguilar",Media planner,False
140,Rodriguez,Elizabeth,R362,E4213,1962-02-10,981 Robinson Squares,65004,Walker-Arnold,Agricultural engineer,True
141,Brown,Michael,B65,M24,1969-03-11,9455 Nicole Stream,67144,Mann-Huang,Quarry manager,True
142,Lee,Todd,L,T3,1976-09-15,4065 Ramirez Plaza Apt. 245,64460,Mitchell-Odonnell,Occupational psychologist,True
143,Yang,Robert,Y52,R163,1929-02-07,70915 Wendy Skyway,77435,Collins-Nielsen,Air broker,False
144,Bowers,Jasmine,B62,J25,1980-08-11,3370 Courtney Freeway,42325,Smith-Hutchinson,IT sales professional,True
145,Miller,Jacqueline,M46,J245,1912-09-27,29922 Joel Gateway Apt. 990,56214,"Matthews, Fisher and Ritter",Jewellery designer,False
146,Clark,Matthew,C462,M3,2018-10-23,263 Foster Glen,61441,Wallace Group,Manufacturing systems engineer,True
147,Riley,Heather,R4,H36,1995-11-19,694 Mejia Dam,57529,Bradford-Richardson,Structural engineer,True
148,Robles,Greg,R142,G62,1989-10-26,06799 Lynn Corners,42057,"Sanders, Armstrong and Rodriguez",Structural engineer,True
149,Lucero,Brett,L26,B63,1996-04-21,249 Velez Centers Suite 289,73867,Hogan-Lopez,Mechanical engineer,True
150,Cardenas,Jessica,C6352,J2,1945-01-02,595 Mccormick Branch,60094,Walker-Arnold,Technical author,True
151,Chambers,Jesus,C5162,J2,1966-12-23,4045 Gibson Views Apt. 446,97738,"Smith, Austin and Aguilar",Jewellery designer,False
152,Cooper,Emily,C16,E54,2013-05-01,82088 Walker Extensions,90870,Campbell LLC,Arts administrator,False
153,Lambert,Johnny,L5163,J5,1995-03-04,24939 Carol Manors,97786,Smith-Hutchinson,Jewellery designer,False
154,Smith,Ashley,S53,A24,1981-10-21,829 Jones Village,56881,Greer-Adkins,"Production assistant, television",True
155,Gutierrez,Teresa,G362,T62,1971-12-14,25286 Wright Harbors Apt. 599,63209,Taylor-Gentry,Mechanical engineer,False
156,Cooper,Ashley,C16,A24,1928-05-17,227 Ashley Harbor,27664,Baker-Ryan,Chiropodist,True
157,Shaw,Frederick,S,F6362,1924-05-31,3824 Austin Mills Suite 912,45244,Baker-Ryan,Diplomatic Services operational officer,True
158,Roberson,Andrew,R1625,A536,1944-11-19,6979 Flowers Row Suite 478,47135,Steele-Barber,"Nurse, mental health",True
159,Johnson,Sharon,J525,S65,1919-12-14,0211 Reyes Drive Apt. 883,61969,Mann-Huang,Cartographer,False
160,Wade,Christopher,W3,C62316,1939-10-11,2566 Anderson Point,76525,Davis-Turner,Manufacturing engineer,True
161,Manning,Megan,M52,M25,1922-10-08,32592 Rodriguez Way,20516,"Williams, Sheppard and Sanchez",Printmaker,True
162,Erickson,Jonathan,E625,J535,1951-04-29,9930 Russell Point Apt. 983,60369,Campbell LLC,IT sales professional,True
163,Brewer,Lisa,B6,L2,1995-01-08,0231 Bennett Lakes,56182,Greer-Adkins,Financial controller,False
164,Alexander,Patrick,A42536,P362,2014-11-16,2388 Gregory Trace,35847,Campbell LLC,Advertising art director,False
165,Fields,Katie,F432,K3,2007-06-09,1245 Krause Burg,50529,Cox LLC,Corporate investment banker,True
166,Hayes,Kristen,H2,K6235,2009-03-14,82829 Stacey Road,93718,Cox LLC,"Clinical scientist, histocompatibility and immunogenetics",False
167,Mckee,Courtney,M2,C635,1986-11-20,5343 Perry Groves Suite 524,99371,Martin-Carter,"Nurse, mental health",True
168,Lee,Sonya,L,S5,1974-01-11,4682 Carolyn Club Apt. 250,84637,Bradford-Richardson,Broadcast engineer,False
169,Davies,Lauren,D12,L65,1948-07-06,32792 Jackson Rue Suite 934,57688,"Chandler, Hendricks and Davis",Race relations officer,False
170,Higgins,Kelli,H252,K4,1960-06-23,810 Brennan Parks Apt. 183,82174,Mitchell-Odonnell,"Horticulturist, amenity",False
171,Silva,Carl,S41,C64,2017-05-24,1769 Ruth Circles Suite 678,66274,Wallace Group,Research scientist (maths),True
172,Harvey,Tina,H61,T5,1944-03-28,3153 Natalie Haven,91038,White-Walsh,Manufacturing engineer,False
173,Mann,Christopher,M5,C62316,1920-05-07,79652 Taylor Well Suite 997,04080,Smith-Hutchinson,IT sales professional,True
174,Oconnell,Jeffrey,O254,J16,1948-07-24,8196 Dana Crescent,31744,Walker-Arnold,"Scientist, research (physical sciences)",False
175,Mullins,Danny,M452,D5,1920-08-01,828 Emily Mall,02388,Shah-Rodgers,Jewellery designer,False
176,Nelson,Emily,N425,E54,1985-03-03,40624 Marco Camp,26003,Steele-Barber,Agricultural engineer,True
177,Martin,Timothy,M635,T53,1915-02-05,047 Joseph Drive,17773,Brown-Peterson,Manufacturing systems engineer,True
178,Costa,Carol,C23,C64,1967-04-24,8374 White Junction,59572,Mann-Huang,Advertising art director,False
179,Olson,Laura,O425,L6,2021-10-21,7230 Alexandria Crossing Apt. 328,25536,Sanchez Inc,"Horticulturist, amenity",True
180,Brewer,Christina,B6,C6235,1936-05-14,78774 Jose Neck,75231,"Matthews, Fisher and Ritter","Librarian, public",False
181,Moore,Erica,M6,E62,1923-03-12,47608 Smith Fork Apt. 264,93992,"Simpson, Stewart and Mckee","Pharmacist, hospital",False
182,Dominguez,Matthew,D52,M3,1953-05-02,5226 Mckee Drives,39041,Sanchez Inc,Race relations officer,False
183,Perkins,Jennifer,P6252,J516,1937-04-23,50884 Austin Course Suite 143,97599,Baker-Ryan,Occupational psychologist,True
184,West,Jeffrey,W23,J16,1913-08-16,592 Deborah Turnpike Suite 484,12116,Davis-Turner,Database administrator,True
185,Pope,Roger,P1,R26,2019-10-27,022 Rivera Ridge,06042,Taylor-Gentry,Corporate investment banker,True
186,Kelley,Kimberly,K4,K5164,1999-11-10,928 Catherine Pines Suite 482,02845,Steele-Barber,"Scientist, research (physical sciences)",True
187,Santiago,Rebecca,S532,R12,2010-02-11,67878 Julia Trail Apt. 147,45173,Campbell LLC,"Surveyor, mining",False
188,Potter,Michael,P36,M24,1956-05-21,69827 Moreno Centers Apt. 527,84575,Smith Inc,Financial controller,True
189,Brown,Michelle,B65,M24,1938-11-06,737 Breanna Drives,59836,Solis-Morris,Hydrogeologist,False
190,Gay,Jeanette,G,J53,1934-05-27,1398 Eric Loaf Suite 553,15254,Campbell LLC,"Clinical scientist, histocompatibility and immunogenetics",True
191,Lewis,Chelsey,L2,C42,1960-08-30,345 Hill Throughway,33128,Ellis and Sons,Air broker,True
192,Blake,Ashley,B42,A24,1966-09-27,42253 Cox Harbor Suite 093,46933,Smith Inc,"Horticulturist, amenity",True
193,Alexander,Richard,A42536,R263,1951-10-07,59057 Lisa Gateway Suite 505,81250,Lee Inc,Race relations officer,True
194,Jones,Jeffrey,J52,J16,1958-09-10,9577 Jenkins Valley Suite 658,75814,Sanchez Inc,"Clinical scientist, histocompatibility and immunogenetics",True
195,Smith,Brandon,S53,B6535,1935-10-27,6941 Jackson Branch,98201,Foster Ltd,Occupational psychologist,False
196,Clark,Tara,C462,T6,2000-08-13,2787 Cindy Divide,89654,Hunter LLC,Occupational therapist,True
197,Gilbert,Paul,G4163,P4,1917-04-26,2632 Amanda Lodge,89772,Flores and Sons,Corporate investment banker,True
198,Perez,Sandra,P62,S536,2001-11-24,8931 Brown Stream,88293,Mann-Huang,Radiation protection practitioner,False
199,Kelly,Karen,K4,K65,1996-09-17,60100 Smith Garden Apt. 505,06904,Lee-Williams,Chiropodist,False
200,Reese,Julie,R2,J4,1934-02-02,503 John Haven,37391,Cox LLC,"Journalist, broadcasting",True
201,Quinn,Tony,Q5,T5,2013-01-06,5349 William Ramp Apt. 167,92961,Hunter LLC,Sports coach,True
202,Sanchez,Joseph,S52,J21,1951-05-10,8212 Acevedo Path,23054,Lane-Dickson,Outdoor activities/education manager,True
203,Terrell,Tracy,T64,T62,1945-09-26,67406 Scott Pines,09216,"Smith, Austin and Aguilar",Chief Financial Officer,False
204,Hernandez,Jennifer,H6532,J516,1938-11-08,275 Lopez Ways Apt. 535,55619,Brown Ltd,Chartered loss adjuster,False
205,Hernandez,Jonathon,H6532,J535,1954-10-08,41931 Wolf Knoll,80567,Campbell LLC,Building control surveyor,True
206,Fox,Megan,F2,M25,1953-05-31,9540 Linda Estates Suite 906,94432,"Adams, Davis and Miller",Chiropodist,True
207,Mckenzie,Steven,M252,S315,1951-06-25,05988 Dunn Ways,77135,"Matthews, Fisher and Ritter",Arts administrator,False
208,Austin,Isaac,A235,I2,1995-08-09,7943 Matthew Dam,06508,Davis-Turner,Mechanical engineer,True
209,Cherry,Michael,C6,M24,1933-07-18,3487 Escobar Curve Suite 329,77845,"Smith, Austin and Aguilar",Jewellery designer,True
210,Robinson,James,R1525,J52,1933-10-18,0516 Cynthia Junctions,89811,"Lutz, Anderson and Murphy","Producer, television/film/video",False
211,Sanchez,Michael,S52,M24,1955-10-02,72773 George Trail Apt. 274,29663,"Adams, Davis and Miller",Race relations officer,False
212,Brown,Abigail,B65,A124,1987-12-22,5868 Olson Manor Apt. 815,28309,"Williams, Sheppard and Sanchez",Broadcast engineer,True
213,Campos,Donna,C512,D5,1969-12-26,795 Karen Cape Apt. 533,55440,Gilbert-Wilkerson,Building control surveyor,True
214,Carson,Deborah,C625,D16,1968-07-27,9052 Perez River,79700,Steele-Barber,"Pharmacist, hospital",False
215,Patterson,Johnathan,P3625,J535,2002-03-09,58257 Williams Fork Suite 814,11440,Turner and Sons,Race relations officer,False
216,Terry,Virginia,T6,V625,1989-10-10,7246 Gary Squares,54557,"Simpson, Stewart and Mckee",Radiation protection practitioner,False
217,Wilson,Emily,W425,E54,2007-04-13,20716 Ford Creek Apt. 328,99936,Davis-Turner,"Journalist, broadcasting",True
218,Beard,Mark,B63,M62,1931-10-30,60958 Molly Estate,02729,Collins-Nielsen,Sports coach,True
219,Kirk,Cheryl,K62,C64,1909-11-12,526 Allen Bypass,19557,Hunter LLC,"Pharmacist, hospital",True
220,Kennedy,Jason,K53,J25,1963-12-01,624 Bailey Landing,44537,Shah-Rodgers,Sports coach,False
221,Moon,Gerald,M5,G643,1965-07-03,64396 Allen Underpass,50582,"Adams, Davis and Miller","Librarian, public",True
222,Owens,Carol,O52,C64,1933-03-08,9809 Garcia Streets Apt. 418,82276,Campbell LLC,"Pharmacist, hospital",True
223,Rose,Olivia,R2,O41,1913-02-04,622 Bradley Tunnel,11142,Foster Ltd,Quarry manager,True
